# FRONT	BACK
What does a PCB contain?	"Everything about a process:
- status
- register state (when not in ready state)
- PID, User, Executable, Priority
- Execution time
- Memory space, translation"
What is special about an interrupt handler?	It disables interrupts and runs to completion.
What are the five states a process can be in?	"- new (when being created)
- ready
- running
- waiting (for I/O or event coordination)
- terminated (waits for parent process to receive its exit code)"
What is the difference between filter() and map()?	"Filter uses a function that returns true or false (predicate).
Map uses a function that returns a value."
What is synchronization?	Using atomic operations to ensure cooperation between threads.
What is a critical section?	A block of code that multiple threads within a process could try to access at the same time. To ensure correct processing, the critical section should be locked before entering, then unlocked when leaving. This creates a mutual exclusion on shared data.
What is the priority inversion problem?	A thread that is busy-waiting for a lock to be released ends up stealing CPU and getting a higher priority than the thread with the lock. SO since the waiting thread gets higher priority, the thread holding the lock can't complete and release the lock.
What is busy-waiting?	One or more threads is using a lot of CPU by continuously checking a value, or test&set() checking and writing a value in wiating for a lock to release, thus stealing CPU from the thread holding the lock.
What is a semaphore?	"A semaphore limits access to a maximum number of threads (maximum concurrency) to have access to a source at the same time. It is commonly used to limit database connections.

A semaphore (defined by Dijkstra) is kind of signaling solution for handling concurrency data integrity problems that arise in multi-threaded applications. It has a non-negative integer that supports 2 operations:
- P() [proberen, to test/probe] - atomic operation that waits for semaphore to become > 1, then decrements it by 1 (wait)
- V() [verhogen, to increment] - an atomic operation that increments the semaphore by 1, waking up any P (signal)

The initial semaphore value will determine how many threads can run in the critical section at once."
What's another name for a mutual exclusion?	Binary semaphore.
What is a monitor?	A lock and zero or more condition variables for managing concurrent access to shared data.
What should locks and condition variables each be used for?	"locks - mutual exclusion
condition variables - scheduling constraints"
What is a condition variable?	A queue of threads waiting for access to something in a critical section.
What is a special feature of condition variables?	It allows sleeping inside a critical section by atomically releasing lock at the time we sleep.
What are the 3 methods on a condition variable?	"wait(&lock)
signal() - signals the next waiting member
broadcast() - signals all waiting members"
What type of scheduling do most modern processors use?	Mesa-scheduling.
What are some things the scheduler tries to accomplish?	"- minimize response time
- maximize throughput
- fairness"
What is a drawback of context switching?	CPU cache misses as thread comes back from switching and finds the CPU cache doesn't have the values it had before.
What's the convoy effect?	Short processes get stuck behind long processes in a FIFO style ready queue.
What is the round robin scheduling scheme?	Each process gets a time quantum q milliseconds to run. 10-100ms, the q is tunable. Each process runs for that time slice (or until completion if close to done) and then goes back on the ready queue.
What are pros of the round-robin scheduling scheme?	"- better for short jobs (they fit in the time slice)
- fair"
What is a con of the round-robin scheduling scheme?	Long jobs take longer because context-switching time adds up.
How long does context switching take?	"0.1ms - 1ms
It's roughly 1% overhead."
What is starvation?	When low-priority jobs never get run because there are always higher priority jobs running.
How does a process' priority get changed?	The scheduler utilizes heuristics on interactivity, locking, burst behavior, etc.
What are some methods of avoiding deadlock?	"- don't allow waiting for a resource (means a lot of retries)
- make all threads request everything they'll need at the beginning
- force all threads to request resources in a particular order preventing any cyclic uses of resources (so no cycle exists)
- temporarily expand resources when a deadlock is detected"
What is the banker's algorithm for preventing deadlock?	"- allocate resources dynamically
- evaluate each request and grant if some ordering of threads is still deadlock-free afterward
- do so by pretending the request was granted, then running a simulation to see if a deadlock would occur"
How does the banker's algorithm solve the dining lawyers problem?	"When you try to grab a chopstick, it's either:
- not the last chopstick
- is last chopstick but someone else will have two afterwards"
Does the CPU use virtual addresses or physical addresses?	Virtual addresses
What translates virtual to physical addresses?	The MMU - the memory management unit
What are the four conditions needed for a deadlock?	"- mutual exclusion
- hold and wait
- no preemption
- circular wait"
How many bits represent an IPv4 address?	32
How many bits represent an IPv6 address?	128
Name some of the protocols used within the TCP/IP application layer.	"- http
- https
- ftp
- tftp
- ntp
- irc
- telnet
- smtp
- ssh
- dns
- snmp
- pop3"
What is NTP?	Network time protocol
What are some protocols in the TCP/IP transport layer?	"- TCP
- UDP"
What are some TCP/IP network layer protocols?	"IP - internet protocol
ICMP - internet control message protocol
ARP - address resolution protocol"
What are some TCP/IP network access layer protocols?	"- RJ45
- ISDN
- Microwave
- Ethernet
- Wifi
- Fiber optics
- ATM
- RJ48
- Copper cables"
What is a PDU?	"Protocol data unit
- generic term used to describe the information at a given layer in the TCP/IP stack"
What is the PDU for OSI layer 7?	data, determined by what information is being exchanged: text, encrypted text, compressed data
What are the PDUs for the the OSI transport layer?	"for TCP, it's called a segment
for UDP, it's called a datagram"
What is the PDU for the TCP/IP internet layer?	packet
What are the 2 PDUs of the OSI Network Access layer?	"data link layer: frames
physical layer: bits"
What is the port for DNS?	53
What is the port for telnet?	23
What is the port for ssh?	22
What is the port range for clients?	8000-65535
How many bits are in an ethernet frame?	48 bits, represented as a hexadecimal number.
What does MAC stand for?	medium access control, a sublayer in the data link layer.
What is the PDU and the addressing at the data link layer?	"PDU: frame
Addressing: physical (MAC) address"
What devices are at the data link layer?	Bridges, switches (multi-port bridge). They inspect frames and forward or not.
What devices are at the Internet/Network layer?	"Routers
Layer 3 switches: can be a switch or a router"
What is the PDU and the addressing at the Internet/Network layer?	"PDU: packet
Addressing IP address"
What is the PDU and the addressing at the Transport layer?	"PDU: segment
addressing: ports"
What devices are at the Transport layer?	Firewalls
What is a socket in HTTP?	The combination of an IP address and a port.
What is involved in the 3 way handshake (TCP)?	"SYN=1 - synchronize, gives a Seq number and expects that number + 1 in response
ACK=1 - sent by acknowledging server with incremented number, who also sends a SYN=1 and a Seq
SYN=0 ACK=1 and the Seq (incremented number) back to the server

Now you're talking!"
Does Kerberos use symmetric or asymmetric encryption?	Symmetric. It tracks all principals and their keys in its KDC table.
What are the 7 layers of the OSI model?	"- application
- presentation
- session
- transport
- network
- data link
- physical"
What are the 4 layers of TCP/IP?	"- application (application, presentation, session in OSI)
- transport
- internet (network in OSI)
- network access (data link & physical in OSI)"
How is an SSL certificate generated by the certificate authority (CA)?	"The common name and public key for a given domain name, signed by the certificate authority's secret key.
The browser can verify the cert with CA's public key."
What is the secure flag on a cookie?	"When set on a cookie, it will only be sent on https requests.
When not set, cookie will be sent on both http and https requests."
When does a Python multi-threaded program terminate?	The entire Python program exits when no alive non-daemon threads are left.
In Python, if a thread is set to daemon, what happens when the thread sleeps?	If the Python program reaches its end, the thread will be killed even if it's sleeping.
If a thread is a daemon, what happens when you do a join()?	The main thread will wait for it.
What does WebRTC stand for?	Web Real-Time Communication
Give an example of the thread-per-connection pattern.	A web server might spawn a thread per connection, then reuse that thread once the connection ends, or terminate the thread.
Give an example of the thread pool model.	A pool of threads can be maintained in order to quickly provide one as a resource for a database connection.
What is contained in a packet?	"- source IP
- destination IP
- data - some portion of the final payload"
What is TLS?	The successor to SSL. All of SSL's versions have been deprecated due to security issues.
What is the purpose of the transport layer?	To allow multiple applications to use one network connection simultaneously.
What is DNS spoofing?	A DNS server is compromised and returns incorrect IP addresses for a some domains.
What does TCP stand for?	Transmission Control Protocol
What is special about TCP?	"It manages the sending and receiving of packet data.
It acknowledges receipt of packets.
If packets are missing, the source will resend the missing packets."
What is HTTP?	The protocol for client-server communication.
What does UDP stand for?	User Datagram Protocol.
What is the size of a UDP header?	8 bytes
What is the size of a TCP header?	20 bytes
What does ICMP stand for?	Internet Control Messaging Protocol
What does ICMP allow you to do?	Allows devices to communicate and send errors. Can echo to see if a device is on the network.
What does SNMP stand for?	Simple Network Management Protocol.
What does SNMP do?	Gathers info from machines on the network when each box has an SNMP agent installed. Can send a large amount of info about machines, software installed, and machine configuration.
Do you need to establish a connection before sending data via UDP?	No, it's connectionless.
Tell me about the checksum in a UDP packet.	It's a 16-bit checksum. It's only mandatory on IPv6
How many times are packets sent in UDP?	Once.
What is special about UDP?	It's connectionless, packets are only sent once and not re-sent if dropped. Packets may not arrive in the right order, and there is no ordering mechanism to fix on the receiving end. No congestion control.
What's special about TCP?	"It does a 3-way handshake before data is sent.
Delivery is acknowledged by receiver.
Packets missing within a certain time window are re-requested.
Packets are put in order on receipt.
Congestion control: can delay delivery until network is uncongested.
IPv4 and IPv6: error detection, checksum mandatory."
What does OSI stand for?	Open Systems Interconnect
Why was OSI created?	To solve the interoperability problem of having multiple heterogeneous networks.
Is OSI just a model?	Yes.
What network protocol won the networking wars?	TCP/IP, based on the OSI model.
What happens at the Application level of the OSI model?	This is where applications live and they handle data in many forms.
What happens in the Session layer of the OSI model?	"This layer handles configuration of the data:
- encryption
- compression
- translation to and from different character encodings"
What happens at the Session layer of the OSI model?	"This layer controls the communication's access via:
- login rights
- permissions
- rights
- roles"
What happens at the Transport layer of the OSI model?	"This layer guarantees end-to-end delivery of data:
- packet ordering
- error detection
- acknowledgements"
What happens at the Network layer of the OSI model?	"This layer's function is to find the shortest path through the network to the destination network.
Deals with congestion, bandwidth, etc."
What happens at the Data Link layer of the OSI model?	"It decides whose turn it is to talk on the network using bus arbitration methods.
It finds the physical device on the network."
What happens at the Physical layer of the OSI model?	"It's the physical network that deals with the physical transmission of electricity through wire:
- cables
- voltages
- frequencies
- connectors
- bits
- transfer rates
- and much more"
How does HTTP/2 save bandwidth?	"Headers are compressed and do not need to send the same headers in a session if they haven't changed.
Servers can send assets referenced in a document without waiting for discrete requests for them."
How does HTTP/2 improve cache breaking?	A server can send updated assets using server push when it recognizes a file has changed.
What is the stream parallelism in HTTP/2?	It's fully multiplexed, so it can use 100-1000 streams in a connection.
Is HTTP/2 binary or textual?	HTTP/2 is a binary protocol.
How are headers and body treated differently in HTTP/2?	They are split into a header frame and a data frame. Multiple requests can be interleaved in a connection, so a request doesn't block.
What is priority in HTTP/2?	Different assets can have different priority so that below the fold content can arrive later.
What is the range of the first octet on a Class A network?	1-126. We don't use 0 or 127.
How many network IDs are there on a Class A network?	"2^7 = 128
First bit is 0, bits 1-7 are network IDs"
How many host IDs are supported on a Class A network?	"2^24 = 16 million
There are 8 bits for the network ID, and the remaining 24 bits are for host IDs.
So there are 16 million per network."
What is the range of the first octet on a Class B network?	128 - 191
How many network IDs are supported on a Class B network?	"2^14 = 16,384
First 2 bits are 10, bits 3-16 are network IDs"
How many host IDs are supported on a Class B network?	"2^16 = 65,536
So there are 65,536 per network"
What is the range of the first octet on a Class C network?	192-223
How many network IDs are supported on a Class C network?	"2^21 = 2 million
First 3 bits are 110, bits 4-24 are network IDs"
How many host IDs are supported on a Class C network?	"2^8 = 256
There are 256 hosts per network"
What is a class D network reserved for?	Multicasting
What is unicasting?	Sending a packet from one host to another.
What does a network ID end in?	0
What does a broadcast ID end in?	255
Who does a broadcast address of 255.255.255.255 send to?	All hosts within the network.
What is a directed broadcast?	It's a broadcast to all hosts within another network.
What is a limited broadcast address?	The limited broadcast address is the address formed by setting all 32 bits of the IP address to 1 (255.255.255.255). The limited broadcast address is used when an IP node must perform a one-to-everyone delivery on the local network but the network ID is unknown.
Why should you make networks as small as possible?	"For:
- security
- maintenance
- management"
How you divide a network?	By subnetting.
What does a /27 CIDR mean?	The first 27 bits are masked with 1s. The remaining 5 bits are reachable in the subnet.
What does a /24 CIDR mean?	The first 24 bits of the IP address are masked. Only hosts with addresses in the unmasked portion are reachable.
What is a block cipher?	A block cipher is a method of encrypting text (to produce ciphertext) in which a cryptographic key and algorithm are applied to a block of data (for example, 64 contiguous bits) at once as a group rather than to one bit at a time.
What is QUIC?	QUIC is a new transport which reduces latency compared to that of TCP. On the surface, QUIC is very similar to TCP+TLS+HTTP/2 implemented on UDP.
What is Capsicum?	A sandboxing framework that adds capability-based security to unix-like kernels and denies access to global namespaces.
What is a global namespace in unixy terms?	"aspects of a system that can be accessed from anywhere:
- file paths
- networks
- PIDs"
What is Google Native Client?	Also called NaCl, Native Client is a sandbox for running compiled C and C++ code in the browser efficiently and securely, independent of the user’s operating system.
What are web sockets?	Full-duplex communication between client and server.
What is the same-origin policy?	"Goal: Two websites should not be able to tamper with each other.
Strategy: each resource is assigned an origin. JS can only access resources from its own origin.
Origin: scheme + hostname + port"
How can 2 origins (let's say 2 frames) communicate?	window.postMessage (HTML5) allows for sending data messages between two windows/frames across domains.
What is JIT compilation?	JIT compilation, also known as dynamic translation, is compilation done at run-time rather than ahead of time (AOT).
What is PyPy?	"PyPy is a replacement for CPython. It is built using the RPython language that was co-developed with it. RPython is a subset of Python and can be translated to C. The main reason to use it instead of CPython is speed: it runs generally faster due to JIT compilation.
PyPy implements Python 2.7.10. It supports all of the core language, passing the Python test suite (with minor modifications that were already accepted in the main python in newer versions). It supports most of the commonly used Python standard library modules."
What does SMT stand for?	Satisfiability modulo theories.
What is an SMT solver?	A satisfiability modulo theories solver solves for large interconnected logic formulas to determine if a given formula can be satisfied. These are helpful for determining the outcome or inputs for a program using symbolic execution.
How do we find that a condition exists that will cause a program to have a predicted outcome?	Using an SAT solver (using logic tests) and an SMT solver (that plugs in numbers), and tells the SAT solver where it got it wrong. They provide feedback in a cycle to each other until a condition can be found.
What is  transactional memory?	Transactional memory attempts to simplify concurrent programming by allowing a group of load and store instructions to execute in an atomic way. It is a concurrency control mechanism analogous to database transactions for controlling access to shared memory in concurrent computing.
What is software transactional memory?	Software transactional memory provides transactional memory semantics in a software runtime library or the programming language, and requires minimal hardware support (typically an atomic compare and swap operation, or equivalent). As the downside, software implementations usually come with a performance penalty, when compared to hardware solutions.
Does PyPY have a GIL?	Yes. The GIL is very difficult to remove. You can use pypy-stm instead, which uses software transactional memory, but will suffer a performance penalty.
How can a server deal with a SYN flood attack?	When it detects a large number of SYN packets at once, or the size of its SN (sequence number) data structure reaches a certain threshold of entries, it can switch to a stateless version, where it send SN responses as signed values with a timestamp, and if it receives one back it lets them through without needing a lookup table.
What is a stack canary?	It's a buffer overflow defense where a random value is pushed onto the stack after the saved EBP, and before tearing down the stack frame, the value is checked. Any buffer flow targeting the return instruction pointer would have to have overwritten this value.
What type of buffer overflow protection does gcc and Visual Studio employ?	They use a stack check guard of bytes before and after the buffer's allocated memory. Once values are written to the buffer, the bytes are checked to ensure they are still the same.
What is scalability?	Scalability is the measure to which a system can adapt to a change in demand for resources, without negatively impacting performance.
What is Akka?	"An open source project that provides a simpler, single programming model - one way of coding for concurrent and distributed applications - the actor programming model.
Akka’s primary goal is to make it simpler to build applications that are deployed in the cloud or run on devices with many cores and that efficiently leverage the full capacity of the computing power available. It’s a toolkit that provides an actor model, runtime, and required supporting tools for building scalable applications."
What is an actor?	"Briefly, actors are a lot like message queues without the configuration and message broker installation overhead. They’re like programmable message queues shrunk to microsize—you can easily create thousands, even millions of them. They don’t “do”
anything unless they’re sent a message.
Messages are simple data structures that can’t be changed after they’ve been created, or in a single word, they’re immutable.
Actors can receive messages one at a time and execute some behavior whenever a message is received. Unlike queues, they can also send messages (to other actors).
Everything an actor does is executed asynchronously. Simply put, you can send a message to an actor without waiting for a response. Actors aren’t like threads, but messages sent to them are pushed through on a thread at some point in time. How actors are connected to threads is configurable - this is not a hardwired relationship.
For now the most important aspect of actors is that you build applications by sending and receiving messages. A message could be processed locally on some available thread, or remotely on another server. Exactly where the message is processed and where the actor lives are things you can decide later, which is very different compared to hardcoding threads and RPC style networking. Actors make it easy to build your application out of small parts that resemble networked services, only shrunk to microsize in footprint and administrative overhead."
What is an IDL-based encoding?	"An interface description language or interface definition language (IDL) encoding. 
It requires a schema definitions. They offer peace of mind with respect to data format and validation for consumers while sacrificing flexibility in the schema’s evolution."
What is Tarantool?	An in-memory noSQL database that uses write-ahead logging for crash resistance and persistence.
What is a coroutine?	"An object representing activity that eventually completes. Also refers the the function we call that returns a coroutine.
In Python, coroutines are generators."
What is a future?	An object representing a result that may not be available yet.
What is AQP?	Approximate query processing. It means pulling a sample of data instead of taking time to process an exact result. It is often used when a data storage involves terabytes or more.
How would you visualize billions of items in a graph?	In many cases, you don't need to graph every point, just use visualization-aware sampling. Sometime 1% or less will do.
What is F1/Spanner?	Fault-Tolerant Distributed RDBMS (Spanner) Supporting Google's Ad Business (F1)
What is Photon?	Fault-tolerant and Scalable Joining of Continuous Data Streams
What is Mesa?	Geo-Replicated, Near Real-Time, Scalable Data Warehousing
How does Google use multi-homed datacenters?	A multi-homed system runs live in multiple datacenters all the time. Each datacenter processes work all the time, and work is dynamically shared between datacenters to balance load. When one datacenter is slow, some fraction of work automatically moves to faster datacenters. When a datacenter is completely unavailable, all its work is automatically distributed to other datacenters.
What is ElasticSearch?	Open Source, Distributed, RESTful Search Engine
What is an example of a circuit breaker?	Start sending 503s if your service is choked to avoid numerous simultaneous retries that just make the system worse.
What is the name of Google's search ranking algorithm?	Hummingbird. PageRank is just one factor used by the algorithm.
What is celery?	Distributed Task Queue
LRU is the most popular type of what kind of policy?	Eviction
What does an eviction policy try to predict?	An eviction policy tries to predict which entries are most likely to be used again in the near future, thereby maximizing the hit ratio
What is Caffiene?	Caffeine is a high performance, near optimal caching library based on Java 8.
What is request coalescing?	When many requests arrive for some content that’s missing in the cache (cache miss), only one instance request will proceed to the backend to fetch the content on behalf of all to avoid a flood.
When might you need to use a NoSQL database	"You don’t have any relational data.
If you need to store > 5 TB of data or you have an incredibly data intensive workload.
Your application has super low-latency requirements.
You need really high throughput."
What is AMP?	"AMP is a restricted subset of HTML designed to make the web fast on mobile devices.
Provides a shared library of scripts so they don’t have to downloaded every time.
Sets standards for the architecture of advertising so advertising doesn't infect pages.
Shared mechanism for collecting data for analytics so you don’t have N different packages on a page gathering stats."
What is a benefit of making processes asynchronous?	Flexibility in the architecture. Getting users on hooked on synchronous low-latency interactions doesn't allow for architecture flexibility.
What is BASE?	"basically available
soft state
eventually consistent

A BASE based system is more tolerant to latency because it is an inherently partitioned and loosely coupled architecture and it uses eventual consistency."
What is ACID?	"atomicity
consistency
isolation
durability"
What is the CAP theorem?	"The CAP theorem, also named Brewer's theorem, states that it is impossible for a distributed computer system to simultaneously provide all three of the following guarantees:

- Consistency (all nodes see the same data at the same time)
- Availability (every request receives a response about whether it succeeded or failed)
- Partition tolerance (the system continues to operate despite arbitrary partitioning due to network failures)"
What is zero copy?	Applications that use zero copy request that the kernel copy the data directly from the disk file to the socket, without going through the application. Zero copy greatly improves application performance and reduces the number of context switches between kernel and user mode.
What is a metaclass?	Any callable (function or class) that implements type()'s function signature.
What is privilege separation?	Separating an application into different areas so a vulnerability in one area doesn't affect the entire application.
In security, what is a principal?	An entity with privileges or rights.
In Unix, who is the owner of a file?	The user with the user ID that matches the UID of the inode.
What privilege do you need to lookup files or directories in a path?	The executable permission.
When is security enforced on a file?	Security is checked when the file descriptor is created. Then it's up to the user to be careful and secure the file descriptor.
What is ptrace?	ptrace is a system call found in several Unix and Unix-like operating systems. By using ptrace, one process can control another, enabling the controller to inspect and manipulate the internal state of its target.
What can you use to debug a process?	ptrace
What user privilege is required to bind to ports < 1024?	root
During system bootstrapping, what call is performed by the system to give a non-root user the ownership of a process?	setuid()
What are the setuid binaries?	"su
sudo"
What does chroot do?	Changes the root directory (/) for a user to be a directory on the filesystem where they can't escape.
What is a confused deputy?	"A confused deputy is a computer program that is innocently fooled by some other party into misusing its authority. It is a specific type of privilege escalation. In information security, the confused deputy problem is often cited as an example of why capability-based security is important, as capability systems protect against this whereas access control list-based systems do not.
The classic example is a Fortran compiler that creates a billing record for each use. A user was able to tell the compiler to output a binary with the same name as the billing file, overwriting it."
What is an example of a confused deputy in the web frontend world?	A CSRF attack.
What is ambient authority, or ambient privilege?	The decision about whether a process or agent can perform an action is based on information not explicitly stated, but inherited instead.
What is a capability?	The privilege to act upon something given your ownership of it, and the inability to act on something using an intermediate process' privileges. An example would be a function where you pass a file descriptor as an argument and the function uses your capability, not its own.
What is a requirement of enabling sandboxing?	"The kernel must be able to support it by disallowing system calls that reference global namespaces:
- file paths starting at root - must be relative
- network
- PIDs - use process descriptors instead"
How is RSA decryption optimized for speed?	"- c^d mod p and c^d mod q are processed in parallel and merged at the end using the Chinese remainder theorem
- put into Montgomery format
- sliding windows to exponentiate on bits of exponent
- perhaps a single extra reduction
- convert back from Montgomery format
- merge using CRT"
How do you change a positive integer to negative?	Subtract 1, flip all bits
How do you change a negative integer to positive?	Flip all bits, then add 1
What is Intel architecture?	"CISC - Complex Instruction Set Computer
Many special-purpose instructions."
What size are Intel instructions?	They are variable-length, from 1 to theoretically 16 bytes.
What is RISC?	"Reduced Instruction Set Architecture. 
- more registers
- fewer, fixed-sized instructions
- used in PowerPC, ARM, SPARC, MIPS"
What Endianness is Intel?	Little Endian, but only in memory. In registers, all are Big Endian.
What is Little Endianness?	The least significant bytes of a word or larger are stored in the lowest address. All bytes are the same. There is no Endianness within a byte.
How many registers are on CISC?	8 general-purpose registers and an instruction pointer. 2 of 8 are not that general.
What is the word size on Intel?	16 bits
What is the double-word size on Intel?	32 bits
What is Big Endianness?	The most significant bytes of a word or larger are stored in the lowest address.
What is the EAX register used for?	Stores the function's return value.
What is the EBX register used for?	Base pointer to the data section.
What is the ECX register used for?	Counter for string and loop operations.
What is the EDX register used for?	I/O pointer
What is the ESI register used for?	Source pointer for string or other copy operations.
What is the EDI register used for?	Destination pointer for string or other copy operations.
What is the ESP register used for?	Stack pointer
What is the EBP register used for?	Stack frame base pointer
What is the EIP register used for?	Instruction pointer - next instruction pointer to execute.
What are the caller-save registers?	"eax
edx
ecx"
What are the callee-save registers?	"ebp
ebx
esi
edi"
Other than the main registers, what other registers can be used?	Legacy 8 and 16-bit registers: AX, AH, AL, SP, BP, SI
What is the caller register-saving convention on Linux systems?	cdecl - C declaration
What is avalancing?	The effect of a hashing method where a small change in the input has a large effect on the output.
What is Chef?	A configuration tool. You write or reuse recipes that declare the state you wish your server to be in. It calculates the delta and builds out for you.
What is an example of a non-cryptographic hash function?	MurmurHash is an efficient, non-cryptographic hash function suitable for general hash-based lookup. The name comes from two basic operations, multiply (MU) and rotate (R), used in its inner loop. It has an avalanche effect. The current version is MurmurHash3 which yields a 32-bit or 128-bit hash value.
How could you process calculations on elements of an array in parallel?	Using recursion, divide and conquer, breaking down the array into smaller segments, then merging the values as the recursion unwinds. Non-mutation of the array means locking is not required.
What factor should you keep in mind when doing parallel computation on different parts of a large data structure?	The memory bandwidth of your RAM. It can become a bottleneck.
What will be the computation time when processing multiple tasks?	The length of time the longest subcomputation takes.
Why should you avoid starting and joining a task or thread on the same line or proximity?	Execution on the current thread will block until it completes, thereby obviating the concurrent call.
What factors affect performance?	"- processor speed 
- number of processors
- memory access latency and throughput
- cache behavior
- runtime behavior (garbage collection, JIT compilation, thread scheduling)"
What is Amdahl's Law?	It gives the theoretical speedup in latency of the execution of a task at fixed workload that can be expected of a system whose resources are improved.
What aspects are important in measuring and benchmarking performance, parallel or otherwise?	"- multiple repetitions
- statistical treatment - mean and variance
- eliminate statistical outliers
- ensuring steady-state (warm-up)
- preventing anomalies (garbage collection, JIT compilation, compiler optimizations in benchmark code that misrepresents real-world)"
When associative operations are used, what does it mean?	Grouping doesn't matter. It will evaluate to the same result.
What is a synonym of reduce()?	fold()
What is the commutative property?	The condition that a group of quantities connected by operators gives the same result whatever the order of the quantities involved. So order of operands doesn't matter, but grouping may matter.
What is a bag?	A multiset.
What is a multiset?	A set in which elements do not have to be unique.
What are some examples of operations that are both associative and commutative?	"- Addition and multiplication of integers
- Union, intersection, and  symmetric difference of sets
- Addition of vectors
- Addition of matrices of fixed dimension
- Addition and multiplication of polynomials"
What are some examples of operations that are associative but not commutative?	"- concatenation of lists
- concatenation of strings
- matrix multiplication"
What should we worry about floating point addition and multiplication?	It is commutative but not associative.
What is the rule of thumb before optimizing or parallelizing?	Ensure the code works correctly first. Then, if you want to get fancy, you can begin to optimize your code for greater speed.
Does Python have an opcode cache?	In a way. It outputs a .pyc file, containing the bytecode. When a module is imported for the first time, or when the source is more recent than the current compiled file, a .pyc file containing the compiled code will usually be created in the same directory as the .py file. When you run the program next time, Python uses this file to skip the compilation step.
Design a URL shortening service.	ask:
How would you design the feature in LinkedIn where it computes how many hops there are between you and another person?	ask:
If you were to design a web platform for online chess games, how would you do that?	"ask:
-"
What are some key things to remember when scaling a large system?	"1) Asynchronous is good  (use queues, topics/pub-sub)
2) Parallel is good  (multi-threading, load balancing etc.)
3) Avoid points of contention e.g. synchronization
4) Avoid writing to disk until you must - cache like crazy
5) Scale out not up
6) At web scale the speed of light is a problem
7) At web scale everything fails - networks, load balancers etc."
What is Thrift?	"Apache Thrift is a framework for scalable cross-language services development. It combines a software stack with a code generation engine to build services that work efficiently and seamlessly between different languages. It handles serialization and has its own communication protocol.
IDL-based."
What is Memcache?	An in-memory distributed hash table. It supports only a few commands but it is extremely efficient.
How does/did Facebook use memcache and mySQL in 2009?	No joins in production. They have many logical databases for all of their types: people, events, place info, etc. They treat the web tier as a CPU, memcache as system memory, and the database as disk. Everything has an ID and you use the ID to query memcache using a multiget. Any misses are fetched from the database and cached in memcache.
What is an out-of-band cache?	A cache layer that does not synch with persistent storage. When changes are made to the database, there are no notifications to synchronize with the cache. The cache entry would need to be updated or evicted by other means.
What is a monad?	In functional programming, monads are a way to build computer programs by joining simple components in predictable and robust ways. A monad is a structure that represents computations defined as sequences of steps: a type with a monad structure defines what it means to chain operations together, or nest functions of that type. This allows the programmer to build pipelines that process data in a series of steps (i.e. a series of actions applied to the data), in which each action is decorated with additional processing rules provided by the monad. A monad is defined by a return operator that creates values, and a bind operator used to link the actions in the pipeline.
What is pyramidpypi?	A self-hosted mirror of pypi.
Big Omega represents what?	A lower bound on the growth of a function. f grows at least as fast as g.
Theta represents what?	A tight asymptotic bound on a function, in other words if both f and g have approximately the same rate of growth.
For graph problems, the complexity  Theta(N + M) is known as what?	linear in the graph size
"What is a better way of saying ""at least O(n^2)""?"	big Omega(n^2)
What is data normalization?	"Normalization is a systematic approach of decomposing tables to eliminate data redundancy and undesirable characteristics like insertion, update and deletion anomalies.

Normalization is used for mainly two purpose,
- eliminating redundant (useless) data
- ensuring data dependencies make sense"
What are the requirements for first normal form?	"- each cell has a single value
- all items in a column must be of the same type
- rows are uniquely identified by a unique ID or a composite key"
What are the requirements for second normal form?	All attributes (non-key columns) are dependent on the key
What are the requirements for third normal form?	All fields can only be determined by the key in the table and no other column.
What are the requirements for fourth normal form?	No multi-valued dependencies, meaning records should not be duplicated in a table just because more than one item is associated. This creates records that are duplicates except for one field.
What are some use cases of Hadoop?	"- reporting on user behavior over many events
- log processing of 100s of billions of rows"
What are some solid principles to keep in mind for scaling?	"- Keep it very simple
- Don’t re-invent the wheel
- Go with boring, proven and well-supported technologies when you can
- Build for what you will need over the next 12-18 months
- Make different things look the same
- Cache to protect the database
- Good enough is good enough"
What is gunicorn?	A Python WSGI HTTP Server
What is WSGI?	"WSGI is the Web Server Gateway Interface. It is a specification that describes how a web server communicates with web applications, and how web applications can be chained together to process one request. It was outlined in PEP 3333.

A WSGI server (meaning WSGI compliant) only receives the request from the client, pass it to the application and then send the response returned by the application to the client."
What is Fabric?	Fabric is a Python (2.5-2.7) library and command-line tool for streamlining the use of SSH for application deployment or systems administration tasks.
What is Apache Solr?	"Solr is an open source enterprise search platform built on Apache Lucene.
Solr is highly reliable, scalable and fault tolerant, providing distributed indexing, replication and load-balanced querying, automated failover and recovery, centralized configuration and more."
What is munin?	Graph metrics and alerting.
What tends to become an issue as you add services in a datacenter and have to ping more caches and services to fulfill a request?	Fan-in, where you can overload routers due to increased internal network traffic.
What can Redis be used for?	"- a noSQL key-value store
- caches
- queues"
What is a benefit of sharding a database as it grows, and what determines the size?	Keeping the index in cache ensures a user lookup doesn't have to hit the disk, lookups can be served from RAM. How much RAM you have will determine the index size which will hint at the underlying data size.
Why do most businesses end up sharding as they scale?	To support massive concurrent writes.
What is a message broker?	Message broker is an intermediary program module that translates a message from the formal messaging protocol of the sender to the formal messaging protocol of the receiver. Message brokers are elements in telecommunication networks where software applications communicate by exchanging formally-defined messages. Message brokers are a building block of Message oriented middleware.
